name,percent
Albania,64
Algeria,80
American Samoa,44
Angola,87
Antigua And Barbuda,60
Argentina,78
Armenia,14
Australia,82
Austria,63
Azerbaijan,78
Bangladesh,99
Belarus,17
Belgium,95
Belize,84
Bermuda,68
"Bolivia, Plurinational State Of",71
Bosnia And Herzegovina,17
Botswana,52
Brazil,94
Bulgaria,15
Burundi,41
Cambodia,66
Cameroon,54
Canada,68
Cayman Is.,82
Central African Rep.,20
Chad,36
Chile,26
China,18
Colombia,50
Costa Rica,26
Croatia,78
Cuba,47
Czechia,20
Dem. Rep. Congo,51
Denmark,72
Dominican Republic,81
Ecuador,65
Egypt,87
El Salvador,72
Ethiopia,68
Fiji,21
Finland,27
France,92
Georgia,58
Germany,70
Ghana,89
Greece,20
Guam,51
Guatemala,21
Guyana,31
Haiti,80
Honduras,66
Hong Kong,83
Hungary,67
India,82
Indonesia,38
Iraq,68
Ireland,60
Israel,84
Italy,55
Jamaica,98
Japan,95
Jordan,55
Kazakhstan,47
Kenya,90
"Korea, Republic Of",80
Kyrgyzstan,83
Latvia,35
Lebanon,37
Liberia,25
Libya,70
Madagascar,20
Malawi,48
Malaysia,80
Mali,25
Marshall Is.,22
Mauritania,79
Mauritius,66
Mexico,10
Micronesia,89
Monaco,100
Mongolia,92
Montenegro,34
Morocco,22
Mozambique,96
Myanmar,91
N. Mariana Is.,14
Namibia,21
Nepal,57
Netherlands,11
New Zealand,46
Nicaragua,97
Niger,33
Nigeria,78
Norway,45
Pakistan,68
"Palestine, State Of",95
Panama,74
Paraguay,37
Peru,13
Philippines,80
Poland,44
Portugal,19
Puerto Rico,66
Réunion,45
Romania,67
Russia,30
Rwanda,73
Saudi Arabia,59
Senegal,32
Serbia,92
Sierra Leone,66
Singapore,80
Slovakia,38
Somalia,90
Somaliland,71
South Africa,81
South Sudan,60
Spain,85
Sri Lanka,68
Sudan,43
Suriname,82
Sweden,97
Switzerland,75
Taiwan,65
Tanzania,91
Thailand,94
Timor-Leste,64
Togo,34
Tonga,39
Trinidad And Tobago,62
Tunisia,79
Turkey,79
U.S. Virgin Is.,42
Uganda,39
Ukraine,87
United Arab Emirates,13
United Kingdom,100
United States of America,23
Uruguay,60
Uzbekistan,25
Vanuatu,26
Venezuela,84
Vietnam,81
W. Sahara,13
Yemen,19
Zambia,81
Zimbabwe,78
